"Bestand","RelatiefPad","GrootteKB"
"output.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\output.md","0,5"
"pageExtensions.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\pageExtensions.md","0,5"
"poweredByHeader.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\poweredByHeader.md","0,5"
"productionBrowserSourceMaps.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\productionBrowserSourceMaps.md","0,5"
"proxyClientMaxBodySize.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\proxyClientMaxBodySize.md","0,5"
"reactStrictMode.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\reactStrictMode.md","0,5"
"redirects.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\redirects.md","0,4"
"rewrites.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\rewrites.md","0,4"
"serverExternalPackages.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\serverExternalPackages.md","2,1"
"trailingSlash.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\trailingSlash.md","0,5"
"transpilePackages.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\transpilePackages.md","0,6"
"turbopack.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\turbopack.md","0,5"
"typescript.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\typescript.md","0,5"
"urlImports.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\urlImports.md","0,5"
"useLightningcss.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\useLightningcss.md","0,5"
"webpack.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\webpack.md","0,5"
"webVitalsAttribution.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-next-config-js\webVitalsAttribution.md","0,5"
"01-typescript.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\01-typescript.md","0,5"
"02-eslint.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\02-eslint.md","0,5"
"index.md","node_modules\next\dist\docs\02-pages\04-api-reference\04-config\index.md","0,1"
"create-next-app.md","node_modules\next\dist\docs\02-pages\04-api-reference\05-cli\create-next-app.md","0,5"
"index.md","node_modules\next\dist\docs\02-pages\04-api-reference\05-cli\index.md","0,4"
"next.md","node_modules\next\dist\docs\02-pages\04-api-reference\05-cli\next.md","0,5"
"01-configuration.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\01-configuration.md","0,5"
"02-creating-an-adapter.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\02-creating-an-adapter.md","0,5"
"03-api-reference.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\03-api-reference.md","0,5"
"04-testing-adapters.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\04-testing-adapters.md","0,5"
"05-routing-with-next-routing.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\05-routing-with-next-routing.md","0,5"
"06-implementing-ppr-in-an-adapter.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\06-implementing-ppr-in-an-adapter.md","0,5"
"07-runtime-integration.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\07-runtime-integration.md","0,5"
"08-invoking-entrypoints.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\08-invoking-entrypoints.md","0,5"
"09-output-types.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\09-output-types.md","0,5"
"10-routing-information.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\10-routing-information.md","0,5"
"11-use-cases.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\11-use-cases.md","0,5"
"index.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-adapters\index.md","0,5"
"06-edge.md","node_modules\next\dist\docs\02-pages\04-api-reference\06-edge.md","0,4"
"08-turbopack.md","node_modules\next\dist\docs\02-pages\04-api-reference\08-turbopack.md","0,2"
"index.md","node_modules\next\dist\docs\02-pages\04-api-reference\index.md","0,1"
"index.md","node_modules\next\dist\docs\02-pages\index.md","0,6"
"accessibility.md","node_modules\next\dist\docs\03-architecture\accessibility.md","2,8"
"fast-refresh.md","node_modules\next\dist\docs\03-architecture\fast-refresh.md","5,6"
"index.md","node_modules\next\dist\docs\03-architecture\index.md","0,1"
"nextjs-compiler.md","node_modules\next\dist\docs\03-architecture\nextjs-compiler.md","14,2"
"supported-browsers.md","node_modules\next\dist\docs\03-architecture\supported-browsers.md","4,5"
"01-contribution-guide.md","node_modules\next\dist\docs\04-community\01-contribution-guide.md","18,8"
"02-rspack.md","node_modules\next\dist\docs\04-community\02-rspack.md","0,6"
"index.md","node_modules\next\dist\docs\04-community\index.md","1,7"
"index.md","node_modules\next\dist\docs\index.md","3,1"
"license.md","node_modules\next\license.md","1,1"
"README.md","node_modules\next\README.md","3,1"
"README_20210527203617.md","node_modules\node-domexception\.history\README_20210527203617.md","0,1"
"README_20210527212714.md","node_modules\node-domexception\.history\README_20210527212714.md","1,6"
"README_20210527213345.md","node_modules\node-domexception\.history\README_20210527213345.md","1,5"
"README_20210527213411.md","node_modules\node-domexception\.history\README_20210527213411.md","1,5"
"README_20210527213803.md","node_modules\node-domexception\.history\README_20210527213803.md","1,6"
"README_20210527214323.md","node_modules\node-domexception\.history\README_20210527214323.md","1,6"
"README_20210527214408.md","node_modules\node-domexception\.history\README_20210527214408.md","1,6"
"README.md","node_modules\node-domexception\README.md","2"
"CHANGELOG.md","node_modules\node-exports-info\CHANGELOG.md","11,6"
"README.md","node_modules\node-exports-info\README.md","4,8"
"LICENSE.md","node_modules\node-fetch\LICENSE.md","1,1"
"README.md","node_modules\node-fetch\README.md","20,8"
"README.md","node_modules\node-releases\README.md","1,4"
"CHANGELOG.md","node_modules\object.assign\CHANGELOG.md","9,5"
"README.md","node_modules\object.assign\README.md","3,8"
"CHANGELOG.md","node_modules\object.entries\CHANGELOG.md","19,6"
"README.md","node_modules\object.entries\README.md","2,3"
"CHANGELOG.md","node_modules\object.fromentries\CHANGELOG.md","4,8"
"README.md","node_modules\object.fromentries\README.md","2,2"
"CHANGELOG.md","node_modules\object.groupby\CHANGELOG.md","2,8"
"README.md","node_modules\object.groupby\README.md","2,7"
"CHANGELOG.md","node_modules\object.values\CHANGELOG.md","19,2"
"README.md","node_modules\object.values\README.md","2,3"
"readme.md","node_modules\object-assign\readme.md","1,5"
"CHANGELOG.md","node_modules\object-inspect\CHANGELOG.md","35,7"
"CHANGELOG.md","node_modules\object-keys\CHANGELOG.md","7,4"
"README.md","node_modules\object-keys\README.md","2,4"
"README.md","node_modules\once\README.md","1,7"
"CHANGELOG.md","node_modules\optionator\CHANGELOG.md","1,9"
"README.md","node_modules\optionator\README.md","14,7"
"CHANGELOG.md","node_modules\own-keys\CHANGELOG.md","1,3"
"README.md","node_modules\own-keys\README.md","1,7"
"readme.md","node_modules\parent-module\readme.md","1,4"
"readme.md","node_modules\path-exists\readme.md","1,4"
"README.md","node_modules\path-expression-matcher\README.md","29,3"
"readme.md","node_modules\path-key\readme.md","1,3"
"README.md","node_modules\path-parse\README.md","0,9"
"README.md","node_modules\picocolors\README.md","0,6"
"README.md","node_modules\picomatch\README.md","27,3"
"readme.md","node_modules\p-limit\readme.md","2,7"
"readme.md","node_modules\p-locate\readme.md","2,5"
"CHANGELOG.md","node_modules\possible-typed-array-names\CHANGELOG.md","2,4"
"README.md","node_modules\possible-typed-array-names\README.md","2,1"
"README.md","node_modules\postcss\README.md","1,2"
"CHANGELOG.md","node_modules\prelude-ls\CHANGELOG.md","4"
"README.md","node_modules\prelude-ls\README.md","0,6"
"README.md","node_modules\prop-types\README.md","11,4"
"CHANGELOG.md","node_modules\proto3-json-serializer\CHANGELOG.md","7,6"
"README.md","node_modules\proto3-json-serializer\README.md","2,9"
"README.md","node_modules\protobufjs\ext\debug\README.md","0,1"
"README.md","node_modules\protobufjs\ext\descriptor\README.md","3,4"
"README.md","node_modules\protobufjs\google\README.md","0,2"
"README.md","node_modules\protobufjs\README.md","29"
"README.md","node_modules\punycode\README.md","5,6"
"README.md","node_modules\queue-microtask\README.md","5,5"
"README.md","node_modules\re2js\README.md","15,8"
"README.md","node_modules\react\README.md","1,1"
"README.md","node_modules\react-dom\README.md","1,1"
"README.md","node_modules\react-is\README.md","2,3"
"CONTRIBUTING.md","node_modules\readable-stream\CONTRIBUTING.md","1,4"
"GOVERNANCE.md","node_modules\readable-stream\GOVERNANCE.md","5,4"
"README.md","node_modules\readable-stream\README.md","4,6"
"CHANGELOG.md","node_modules\reflect.getprototypeof\CHANGELOG.md","10"
"README.md","node_modules\reflect.getprototypeof\README.md","3,7"
"CHANGELOG.md","node_modules\regexp.prototype.flags\CHANGELOG.md","25,1"
"README.md","node_modules\regexp.prototype.flags\README.md","2,5"
"INCIDENT_RESPONSE_PROCESS.md","node_modules\resolve\.github\INCIDENT_RESPONSE_PROCESS.md","3,7"
"THREAT_MODEL.md","node_modules\resolve\.github\THREAT_MODEL.md","4,1"
"SECURITY.md","node_modules\resolve\SECURITY.md","0,4"
"readme.md","node_modules\resolve-from\readme.md","1,8"
"README.md","node_modules\resolve-pkg-maps\README.md","7,6"
"README.md","node_modules\retry\README.md","8,8"
"CHANGELOG.md","node_modules\retry-request\CHANGELOG.md","4,5"
"readme.md","node_modules\retry-request\readme.md","4,9"
"README.md","node_modules\reusify\README.md","3,2"
"SECURITY.md","node_modules\reusify\SECURITY.md","0,4"
"README.md","node_modules\run-parallel\README.md","3,1"
"CHANGELOG.md","node_modules\safe-array-concat\CHANGELOG.md","6,4"
"README.md","node_modules\safe-array-concat\README.md","2,5"
"README.md","node_modules\safe-buffer\README.md","19,1"
"CHANGELOG.md","node_modules\safe-push-apply\CHANGELOG.md","0,8"
"README.md","node_modules\safe-push-apply\README.md","2"
"CHANGELOG.md","node_modules\safe-regex-test\CHANGELOG.md","4,2"
"README.md","node_modules\safe-regex-test\README.md","1,8"
"README.md","node_modules\scheduler\README.md","0,3"
"README.md","node_modules\semver\README.md","16,6"
"CHANGELOG.md","node_modules\set-function-length\CHANGELOG.md","4,8"
"README.md","node_modules\set-function-length\README.md","2,1"
"CHANGELOG.md","node_modules\set-function-name\CHANGELOG.md","3,7"
"README.md","node_modules\set-function-name\README.md","2,3"
"CHANGELOG.md","node_modules\set-proto\CHANGELOG.md","0,8"
"README.md","node_modules\set-proto\README.md","1,7"
"README.md","node_modules\sharp\node_modules\semver\README.md","25,1"
"README.md","node_modules\sharp\README.md","3,1"
"readme.md","node_modules\shebang-command\readme.md","0,5"
"readme.md","node_modules\shebang-regex\readme.md","0,6"
"CHANGELOG.md","node_modules\side-channel\CHANGELOG.md","11,2"
"README.md","node_modules\side-channel\README.md","2,1"
"CHANGELOG.md","node_modules\side-channel-list\CHANGELOG.md","1,6"
"README.md","node_modules\side-channel-list\README.md","2,2"
"CHANGELOG.md","node_modules\side-channel-map\CHANGELOG.md","1,2"
"README.md","node_modules\side-channel-map\README.md","2,2"
"CHANGELOG.md","node_modules\side-channel-weakmap\CHANGELOG.md","1,4"
"README.md","node_modules\side-channel-weakmap\README.md","2,3"
"README.md","node_modules\source-map-js\README.md","25,4"
"README.md","node_modules\stable-hash\README.md","3"
"CHANGELOG.md","node_modules\stop-iteration-iterator\CHANGELOG.md","2,5"
"README.md","node_modules\stop-iteration-iterator\README.md","1,8"
"readme.md","node_modules\stream-events\readme.md","1,5"
"README.md","node_modules\stream-shift\README.md","0,5"
"README.md","node_modules\string.prototype.includes\README.md","2,2"
"CHANGELOG.md","node_modules\string.prototype.matchall\CHANGELOG.md","12,6"
"README.md","node_modules\string.prototype.matchall\README.md","3,2"
"README.md","node_modules\string.prototype.repeat\README.md","1,6"
"CHANGELOG.md","node_modules\string.prototype.trim\CHANGELOG.md","22,2"
"README.md","node_modules\string.prototype.trim\README.md","2,2"
"CHANGELOG.md","node_modules\string.prototype.trimend\CHANGELOG.md","12,5"
"README.md","node_modules\string.prototype.trimend\README.md","2,2"
"CHANGELOG.md","node_modules\string.prototype.trimstart\CHANGELOG.md","10,6"
"README.md","node_modules\string.prototype.trimstart\README.md","2,3"
"README.md","node_modules\string_decoder\README.md","1,8"
"README.md","node_modules\string-width\node_modules\emoji-regex\README.md","2,6"
"readme.md","node_modules\string-width\readme.md","1,4"
"readme.md","node_modules\strip-ansi\readme.md","1,6"
"readme.md","node_modules\strip-bom\readme.md","0,9"
"readme.md","node_modules\strip-json-comments\readme.md","1,9"
"CHANGELOG.md","node_modules\strnum\CHANGELOG.md","1,1"
"README.md","node_modules\strnum\README.md","4,5"
"readme.md","node_modules\stubs\readme.md","1,4"
"license.md","node_modules\styled-jsx\license.md","1,1"
"readme.md","node_modules\styled-jsx\readme.md","31"
"readme.md","node_modules\supports-color\readme.md","2,2"
"CHANGELOG.md","node_modules\supports-preserve-symlinks-flag\CHANGELOG.md","1,9"
"README.md","node_modules\supports-preserve-symlinks-flag\README.md","2,2"
"CHANGELOG.md","node_modules\teeny-request\CHANGELOG.md","12,2"
"README.md","node_modules\teeny-request\node_modules\agent-base\README.md","4,9"
"README.md","node_modules\teeny-request\node_modules\https-proxy-agent\README.md","4,6"
"README.md","node_modules\teeny-request\README.md","3,3"
"README.md","node_modules\tinyglobby\node_modules\fdir\README.md","3,8"
"README.md","node_modules\tinyglobby\node_modules\picomatch\README.md","27,7"
"README.md","node_modules\tinyglobby\README.md","0,9"
"README.md","node_modules\to-regex-range\README.md","13,3"
"LICENSE.md","node_modules\ts-api-utils\LICENSE.md","1"
"README.md","node_modules\ts-api-utils\README.md","1,7"
"CHANGELOG.md","node_modules\tsconfig-paths\CHANGELOG.md","11,5"
"LICENSE.md","node_modules\tsconfig-paths\node_modules\json5\LICENSE.md","1,1"
"README.md","node_modules\tsconfig-paths\node_modules\json5\README.md","7,5"
"README.md","node_modules\tsconfig-paths\README.md","9,5"
"README.md","node_modules\tslib\README.md","3,9"
"SECURITY.md","node_modules\tslib\SECURITY.md","2,7"
"README.md","node_modules\type-check\README.md","10"
"CHANGELOG.md","node_modules\typed-array-buffer\CHANGELOG.md","4,2"
"README.md","node_modules\typed-array-buffer\README.md","2"
"CHANGELOG.md","node_modules\typed-array-byte-length\CHANGELOG.md","3,5"
"README.md","node_modules\typed-array-byte-length\README.md","3,6"
"CHANGELOG.md","node_modules\typed-array-byte-offset\CHANGELOG.md","5"
"README.md","node_modules\typed-array-byte-offset\README.md","3,6"
"CHANGELOG.md","node_modules\typed-array-length\CHANGELOG.md","11,3"
"README.md","node_modules\typed-array-length\README.md","2,7"
"README.md","node_modules\typescript\README.md","2,8"
"SECURITY.md","node_modules\typescript\SECURITY.md","2,6"
"README.md","node_modules\typescript-eslint\README.md","0,7"
"CHANGELOG.md","node_modules\unbox-primitive\CHANGELOG.md","8,4"
"README.md","node_modules\unbox-primitive\README.md","2,1"
"README.md","node_modules\undici-types\README.md","0,4"
"README.md","node_modules\unrs-resolver\README.md","21,6"
"README.md","node_modules\update-browserslist-db\README.md","0,8"
"README.md","node_modules\uri-js\README.md","6,3"
"History.md","node_modules\util-deprecate\History.md","0,3"
"README.md","node_modules\util-deprecate\README.md","1,6"
"CHANGELOG.md","node_modules\uuid\CHANGELOG.md","15,8"
"CONTRIBUTING.md","node_modules\uuid\CONTRIBUTING.md","0,5"
"LICENSE.md","node_modules\uuid\LICENSE.md","1,1"
"README.md","node_modules\uuid\README.md","16,6"
"LICENSE.md","node_modules\webidl-conversions\LICENSE.md","1,3"
"README.md","node_modules\webidl-conversions\README.md","5,4"
"LICENSE.md","node_modules\websocket-driver\LICENSE.md","0,5"
"README.md","node_modules\websocket-driver\README.md","12,7"
"CHANGELOG.md","node_modules\websocket-extensions\CHANGELOG.md","0,9"
"README.md","node_modules\websocket-extensions\lib\pipeline\README.md","24,1"
"LICENSE.md","node_modules\websocket-extensions\LICENSE.md","0,5"
"README.md","node_modules\websocket-extensions\README.md","12,8"
"README.md","node_modules\web-streams-polyfill\README.md","6,4"
"README.md","node_modules\web-vitals\README.md","48,1"
"README.md","node_modules\whatwg-url\README.md","5"
"CHANGELOG.md","node_modules\which\CHANGELOG.md","2,6"
"README.md","node_modules\which\README.md","1,3"
"CHANGELOG.md","node_modules\which-boxed-primitive\CHANGELOG.md","8,9"
"README.md","node_modules\which-boxed-primitive\README.md","3"
"CHANGELOG.md","node_modules\which-builtin-type\CHANGELOG.md","11,3"
"README.md","node_modules\which-builtin-type\README.md","3,4"
"CHANGELOG.md","node_modules\which-collection\CHANGELOG.md","6,8"
"README.md","node_modules\which-collection\README.md","2,8"
"CHANGELOG.md","node_modules\which-typed-array\CHANGELOG.md","26,9"
"README.md","node_modules\which-typed-array\README.md","3,3"
"README.md","node_modules\word-wrap\README.md","6,2"
"readme.md","node_modules\wrap-ansi\readme.md","2,7"
"README.md","node_modules\wrappy\README.md","0,7"
"README.md","node_modules\xml-naming\README.md","9,5"
"CHANGELOG.md","node_modules\y18n\CHANGELOG.md","3,8"
"README.md","node_modules\y18n\README.md","3,1"
"README.md","node_modules\yallist\README.md","4,6"
"CHANGELOG.md","node_modules\yargs\CHANGELOG.md","24,6"
"README.md","node_modules\yargs\README.md","5,8"
"CHANGELOG.md","node_modules\yargs-parser\CHANGELOG.md","16,1"
"README.md","node_modules\yargs-parser\README.md","11,6"
"readme.md","node_modules\yocto-queue\readme.md","2"
"README.md","node_modules\zod\README.md","5,5"
"README.md","node_modules\zod-validation-error\README.md","21,4"
"README.v3.md","node_modules\zod-validation-error\README.v3.md","18,7"
"README.md","README.md","3,8"
"REVIEW_V0.3.1.md","REVIEW_V0.3.1.md","2,2"
